major,school,degree_level,academic_year,plan_status,requirement_group,course_code,course_title,course_type,credit_hours,prerequisites,source_page,source
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50400253,Site Supervision & Operations,,,50400251,3,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50400480,Work Integrated Learning,,,Successfully completed 60 CH,3,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50401111,Construction Information and Technical Drafting,,,,2,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50401112,Architectural Communication Techniques,,,-,2,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50401113,Computer Visualizations,,,50401111,2,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50401131,Understanding Architecture I,,,-,2,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50401171,Creative Design Studio,,,-,2,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50401211,Digital Fabrication Workshop,,,,2,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50401212,Scripting for Construction,,,,2,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50401232,Principles of Refurbishment,,,50401131,3,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50401271,Design Studio: Experimental Design,,,50401171,2,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50401272,Design Studio: Modular Buildings,,,50401171,2,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50401273,Design Studio: Culture and Identity,,,50401172,2,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50401274,Design Studio: Retrofitting and Adaptive Re-use,,,50401172,2,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
